,SpeciesCode,Name,ReportedCommCatch_kg,TACC_kg,CustAllow_kg,RecAllow_kg,TargetFishery,BycatchFishery,InQMS,Year
0,HOK,Hoki,136719050,150010000,20000,20000,Yes,Yes,Yes,2016
1,JMA,Jack mackerel,40620099,60547234,,,Yes,Yes,Yes,2016
2,SBW!,Southern blue whitin...,21451334,49288000,0,0,Yes,No,Yes,2016
3,OYU,Oysters dredge (Fov...,10000801,14950000,,,Yes,No,Yes,2016
4,EMA,Blue mackerel,8033020,11550000,24000,47000,Yes,Yes,Yes,2016
5,SWA,Silver warehou,7514934,10380201,1000,2000,No,Yes,Yes,2016
6,TAR,Tarakihi,5870379,6439173,188000,652000,Yes,Yes,Yes,2016
7,HAK,Hake,4722117,13211143,0,0,Yes,Yes,Yes,2016
8,GUR,Gurnard,3953171,5631187,13000,28000,Yes,Yes,Yes,2016
9,STA,Giant stargazer,3026997,5536400,2000,6000,Yes,Yes,Yes,2016
10,WAR,Common warehou,2890931,4512358,,,Yes,Yes,Yes,2016
11,FLA,Flatfish,2792053,5418800,275000,420000,Yes,No,Yes,2016
12,KAH,Kahawai,2222599,2728000,617000,2293000,Yes,Yes,Yes,2016
13,BCO,Blue cod,2105667,2331625,31000,556000,Yes,No,Yes,2016
14,RBT,Redbait,1455535,5050000,0,0, , ,Yes,2016
15,SPO,Rig,1406398,1966064,60000,128000,Yes,Yes,Yes,2016
16,GSH,Ghost shark,1369422,3047000,0,2000,No,Yes,Yes,2016
17,COC,Cockle,1186589,3214000,161000,221000,Yes,No,Yes,2016
18,WWA,White warehou,1068992,3735000,6000,6000,No,Yes,Yes,2016
19,BNS,Bluenose,960630,1110000,9000,63000,Yes,Yes,Yes,2016
20,PAU,Black Paua & Yellowf...,912156,1058499,24000,43000,Yes,No,Yes,2016
21,GMU,Grey mullet,827489,1005601,100000,100000,Yes,No,Yes,2016
22,GSP,Pale ghost shark,690629,1780000,0,0,No,Yes,Yes,2016
23,SKI,Gemfish,677371,1060394,6000,10000,Yes,Yes,Yes,2016
24,MOK,Blue moki,586447,640906,1000,20000,Yes,No,Yes,2016
25,LDO,Lookdown dory,507162,783000,0,0,Yes,Yes,Yes,2016
26,SAE!,Triangle shell,392078,2542000,15000,1000, , ,Yes,2016
