,OBJECTID,FeatureKey,LayerKey,DistributionType,LayerGroupKey,LayerName,MetadataKey,PortalUrl,ObjectReferences,SpeciesDepthMaximum,Alert,SpeciesCode,AccuracyExplanation,SpeciesCommonName,ScientificContact,SpeciesScientificName,ObjectSecurity,SpeciesMaoriName,TemporalExtent,Keywords,ObjectName,PositionalAccuracy,AlertWarning,EndangeredStatus,SpeciesDepthMinimum,SpeciesGroup,HabitatType,LayerIdentifier,SHAPE.STArea(),SHAPE.STLength()
0,943,457,913,1,3983,Anchovy - Annual Spawning Distribution,642,https://mpi.maps.arcgis.com/home/item.html?id=d0421f120d5d414cad8619b6145a5a9a,,100m,N,ANC,The mapped object is a scientific interpretation of data and is considered accurate to ±15%,Anchovy,"General Manager Biodiversity, Biosecurity and Information Services, NIWA, Private Bag 14-901, Wellington. Phone (04) 386 0300",Engraulis australis (White 1790),None,Kokowhaawhaa,Annual,Hotspot,Firth of Thames,100 km,None,Not listed,0m,Anchovy,Pelagic inshore,FSJ0030_1,4395163453.691406,297084.70558102184
0,954,416,913,1,3983,Anchovy - Annual Spawning Distribution,642,https://mpi.maps.arcgis.com/home/item.html?id=d0421f120d5d414cad8619b6145a5a9a,,100m,N,ANC,The mapped object is a scientific interpretation of data and is considered accurate to ±15%,Anchovy,"General Manager Biodiversity, Biosecurity and Information Services, NIWA, Private Bag 14-901, Wellington. Phone (04) 386 0300",Engraulis australis (White 1790),None,Kokowhaawhaa,Annual,Hotspot,Hawke Bay,100 km,None,Not listed,0m,Anchovy,Pelagic inshore,FSJ0030_1,4892070885.701172,294162.06878111645
0,1043,458,913,1,3983,Anchovy - Annual Spawning Distribution,642,https://mpi.maps.arcgis.com/home/item.html?id=d0421f120d5d414cad8619b6145a5a9a,,100m,N,ANC,The mapped object is a scientific interpretation of data and is considered accurate to ±15%,Anchovy,"General Manager Biodiversity, Biosecurity and Information Services, NIWA, Private Bag 14-901, Wellington. Phone (04) 386 0300",Engraulis australis (White 1790),None,Kokowhaawhaa,Annual,Hotspot,Wellington Harbour,100 km,None,Not listed,0m,Anchovy,Pelagic inshore,FSJ0030_1,100740877.06640625,44635.822370031754
0,1169,987,913,1,3983,Anchovy - Annual Spawning Distribution,642,https://mpi.maps.arcgis.com/home/item.html?id=d0421f120d5d414cad8619b6145a5a9a,,100m,N,ANC,The mapped object is a scientific interpretation of data and is considered accurate to ±15%,Anchovy,"General Manager Biodiversity, Biosecurity and Information Services, NIWA, Private Bag 14-901, Wellington. Phone (04) 386 0300",Engraulis australis (White 1790),None,Kokowhaawhaa,Annual,Hotspot,Bay of Plenty,100 km,None,Not listed,0m,Anchovy,Pelagic inshore,FSJ0030_1,7735030451.878906,729178.4192699695
0,1202,126,913,1,3983,Anchovy - Annual Spawning Distribution,642,https://mpi.maps.arcgis.com/home/item.html?id=d0421f120d5d414cad8619b6145a5a9a,,100m,N,ANC,The mapped object is a scientific interpretation of data and is considered accurate to ±15%,Anchovy,"General Manager Biodiversity, Biosecurity and Information Services, NIWA, Private Bag 14-901, Wellington. Phone (04) 386 0300",Engraulis australis (White 1790),None,Kokowhaawhaa,Annual,Hotspot,Marlborough,100 km,None,Not listed,0m,Anchovy,Pelagic inshore,FSJ0030_1,6146307915.384766,369041.1083110566
0,1271,700,913,1,3983,Anchovy - Annual Spawning Distribution,642,https://mpi.maps.arcgis.com/home/item.html?id=d0421f120d5d414cad8619b6145a5a9a,,100m,N,ANC,The mapped object is a scientific interpretation of data and is considered accurate to ±15%,Anchovy,"General Manager Biodiversity, Biosecurity and Information Services, NIWA, Private Bag 14-901, Wellington. Phone (04) 386 0300",Engraulis australis (White 1790),None,Kokowhaawhaa,Annual,Hotspot,Fiordland,100 km,None,Not listed,0m,Anchovy,Pelagic inshore,FSJ0030_1,7825717939.607422,615777.7606814115
0,291,1068,915,3,3984,Banded Giant Stargazer - Annual Spawning Distribution,595,https://mpi.maps.arcgis.com/home/item.html?id=bf34540e4ea54907bfea30452967dedc,,320 m,N,BGZ,The mapped object is a scientific interpretation of data and is considered accurate to ±15%,Banded giant stargazer,"General Manager Biodiversity, Biosecurity and Information Services, NIWA, Private Bag 14-901, Wellington. Phone (04) 386 0300",Kathetostoma sp.,None,Unknown,Annual,100%,Fiordland area,100 km,None,Not listed,75 m,Stargazer,Demersal offshore,FSJ0041_1,2554137011.576172,236037.98221886702
0,427,761,915,3,3984,Banded Giant Stargazer - Annual Spawning Distribution,595,https://mpi.maps.arcgis.com/home/item.html?id=bf34540e4ea54907bfea30452967dedc,,320 m,N,BGZ,The mapped object is a scientific interpretation of data and is considered accurate to ±15%,Banded giant stargazer,"General Manager Biodiversity, Biosecurity and Information Services, NIWA, Private Bag 14-901, Wellington. Phone (04) 386 0300",Kathetostoma sp.,None,Unknown,Annual,100%,Stewart Island,100 km,None,Not listed,75 m,Stargazer,Demersal offshore,FSJ0041_1,3514700336.3710938,308091.7116891375
0,507,992,915,3,3984,Banded Giant Stargazer - Annual Spawning Distribution,595,https://mpi.maps.arcgis.com/home/item.html?id=bf34540e4ea54907bfea30452967dedc,,320 m,N,BGZ,The mapped object is a scientific interpretation of data and is considered accurate to ±15%,Banded giant stargazer,"General Manager Biodiversity, Biosecurity and Information Services, NIWA, Private Bag 14-901, Wellington. Phone (04) 386 0300",Kathetostoma sp.,None,Unknown,Annual,100%,Southern Ocean,100 km,None,Not listed,75 m,Stargazer,Demersal offshore,FSJ0041_1,3577958977.2597656,380032.998122663
0,836,1322,915,3,3984,Banded Giant Stargazer - Annual Spawning Distribution,595,https://mpi.maps.arcgis.com/home/item.html?id=bf34540e4ea54907bfea30452967dedc,,320 m,N,BGZ,The mapped object is a scientific interpretation of data and is considered accurate to ±15%,Banded giant stargazer,"General Manager Biodiversity, Biosecurity and Information Services, NIWA, Private Bag 14-901, Wellington. Phone (04) 386 0300",Kathetostoma sp.,None,Unknown,Annual,100%,Southern Ocean,100 km,None,Not listed,75 m,Stargazer,Demersal offshore,FSJ0041_1,2592748550.0253906,210842.45288468245
